Expenditure on educational institutions as a percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure: Expenditure on education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education level: Primary to tertiary education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination of expenditure: All educational institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of expenditure: Expenditure for educational institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined unit of measure: Percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time period,Time period,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2005,2005,2005,2005,2000,2000,2000,2000,1995,1995,1995,1995,
Financing source,Financing source,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,
Reference area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,6.2,4.4,W   1.9,K ..,6.1,4.1,W   2.0,K ..,5.9,4.0,W   2.0,K ..,B   6.0,B   4.0,B   2.0,K ..,B   5.8,B   3.9,B   1.9,K ..,B   6.0,B   4.0,B   2.0,K ..,B   5.8,B   3.9,B   1.9,K ..,B   5.7,B   4.0,B   1.7,K ..,B   5.6,B   4.0,B   1.6,K ..,B   5.8,B   4.2,B   1.6,K ..,B   6.1,B   4.6,B   1.6,K ..,B   5.8,B   4.3,B   1.6,K ..,B   5.4,B   3.9,B   1.5,K ..,B   5.4,B   3.9,B   1.5,K ..,B   5.2,B   3.9,B   1.4,K ..,O ..,O ..,O ..,O ..,
Austria,,,,,,4.9,4.6,0.3,M ..,4.7,4.4,0.3,M ..,4.7,4.4,0.3,M ..,4.8,4.5,0.3,M ..,4.9,4.6,0.3,M ..,4.9,4.6,0.3,M ..,4.8,4.6,0.2,M ..,4.9,4.7,0.2,M ..,4.9,4.7,0.2,M ..,O ..,O ..,O ..,M ..,O ..,O ..,O ..,M ..,O ..,O ..,O ..,M ..,O ..,O ..,O ..,M ..,O ..,O ..,O ..,M ..,O ..,O ..,O ..,M ..,O ..,O ..,O ..,M ..,
Belgium,,,,,,6.0,5.6,0.3,0.1,5.6,5.2,0.3,0.1,5.6,5.2,0.3,0.1,5.7,5.3,0.3,0.1,5.7,5.3,0.3,0.1,5.6,5.3,0.3,0.0,5.8,5.4,0.3,0.0,5.8,5.5,0.3,0.0,5.8,5.4,0.3,0.0,W   5.7,5.3,0.3,0.0,W   5.7,5.4,0.3,0.0,W   5.8,5.4,0.3,0.0,W   5.6,5.3,0.3,0.0,W   5.3,5.0,0.3,0.0,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
Canada,,,,,,6.0,W   4.6,W   1.4,K ..,5.7,4.4,W   1.4,K ..,5.9,4.4,W   1.4,K ..,5.9,4.5,W   1.4,K ..,5.9,4.5,W   1.4,K ..,5.6,4.4,W   1.2,K ..,5.8,4.4,W   1.3,K ..,5.8,4.5,W   1.3,K ..,5.9,4.7,W   1.2,K ..,6.4,4.8,1.5,0.0,6.7,5.1,1.6,O ..,6.3,4.8,1.5,O ..,6.0,4.7,1.3,O ..,5.9,4.4,1.4,O ..,5.9,4.7,1.2,O ..,O ..,O ..,O ..,O ..,
Chile,,,,,,6.4,4.2,2.3,M ..,W   6.6,4.2,W   2.4,M ..,W   6.6,4.0,W   2.6,M ..,W   6.6,4.0,W   2.6,M ..,W   6.3,3.8,W   2.5,M ..,5.2,3.4,1.9,O ..,5.5,3.3,2.1,O ..,5.8,3.5,2.3,O ..,6.2,3.5,2.7,O ..,5.7,3.2,2.6,O ..,5.7,3.2,2.5,O ..,5.9,3.3,2.6,O ..,5.5,3.1,2.4,O ..,5.6,2.8,2.8,O ..,6.2,3.3,2.9,O ..,4.2,2.3,1.9,O ..,
Colombia,,,,,,6.6,4.6,2.0,0.0,5.7,3.9,1.9,0.0,5.9,3.9,1.9,0.0,W   5.7,W   4.0,W   1.7,W   0.0,W   6.3,W   3.9,W   2.4,W   0.0,W   5.8,W   3.9,W   1.9,W   0.0,W   5.7,W   3.9,W   1.8,W   0.0,W   6.0,W   4.1,W   2.0,W   0.0,W   5.8,W   3.9,W   1.9,W   0.0,W   5.7,W   3.9,W   1.7,W   0.0,O ..,W   4.2,O ..,W   0.0,W   6.2,W   4.3,W   1.8,W   0.0,O ..,4.8,O ..,O ..,O ..,4.6,O ..,O ..,O ..,0.7,1.2,O ..,O ..,O ..,O ..,O ..,
Costa Rica,,O ..,5.4,O ..,O ..,O ..,5.8,O ..,O ..,O ..,W   6.2,O ..,O ..,O ..,5.4,O ..,O ..,O ..,O ..,O ..,O ..,O ..,6.1,O ..,O ..,O ..,6.4,O ..,O ..,O ..,6.1,O ..,O ..,7.8,6.1,1.7,O ..,O ..,6.1,O ..,O ..,O ..,5.8,O ..,O ..,O ..,6.0,O ..,O ..,O ..,5.5,O ..,O ..,O ..,4.5,O ..,O ..,O ..,O ..,O ..,O ..,O ..,4.4,O ..,O ..,O ..,O ..,O ..,O ..,
Czechia,,,,,,4.5,4.0,0.4,0.1,4.3,3.8,0.4,0.1,4.1,3.6,0.4,0.1,3.6,3.1,0.4,0.0,3.4,3.0,0.4,0.0,3.8,3.2,0.4,0.2,3.8,3.2,0.5,0.2,4.0,3.3,0.5,0.2,4.2,3.5,0.5,0.2,4.0,3.5,0.5,O ..,3.8,3.3,0.5,O ..,3.9,3.4,0.5,O ..,3.6,3.1,0.5,O ..,3.7,3.2,0.5,O ..,3.3,3.0,0.3,O ..,4.0,3.5,0.5,O ..,
Denmark,,,,,,5.8,5.3,0.4,0.1,5.8,5.3,0.4,0.1,5.8,5.3,0.4,0.1,5.8,5.3,0.3,0.1,6.0,5.6,0.3,0.1,O ..,O ..,O ..,O ..,6.5,6.2,0.2,0.0,6.3,6.0,0.2,0.1,O ..,6.0,O ..,0.0,6.1,5.8,0.2,O ..,6.5,6.2,0.2,O ..,6.4,6.2,0.2,O ..,5.8,5.6,0.2,O ..,6.0,5.9,0.1,O ..,5.5,5.4,0.1,O ..,5.5,5.4,0.1,O ..,
