Development Stage,Current,Disease,Intervention,RFP Year,Progress,Project,Partner,Awarded Amount
Clinical,Vaccine Phase1 Clinical Development,Malaria,Vaccine,2013,Successfully Completed,Clinical Development of BK-SE36/CpG Malaria Vaccine,"Research Institute for Microbial Diseases (RIMD), Osaka University,Gulu University, Uganda","$714,500"
Discovery,Vaccine Technology Platform Identification,Malaria,Vaccine,2013,Successfully Completed,Accelerating Development of Vaccines for Malaria Elimination Using a Novel Clinical Target Validation Approach,"Ehime University,CellFree Sciences Co. Ltd.,PATH Malaria Vaccine Initiative","$591,396"
Preclinical,Vaccine Lead Optimization,Tuberculosis,Vaccine,2013,TERMINATED,Development of recombinant hPIV2 virus vector as a new TB vaccine,"National Institutes of Biomedical Innovation, Health and Nutrition,Aeras","$700,000"
Discovery,Drug Lead Identification,NTD(Chagas disease),Drug,2013,Successfully Completed,Optimization of Diversity-Oriented Synthesis (DOS)-derived trypanocidal small molecule ML341 towards investigational new drug status for Chagas disease,"Eisai Co., Ltd.,Broad Institute","$500,000"
Clinical,Drug Clinical Phase2,Malaria,Drug,2013,Successfully Completed,Development of DSM265 as a long acting antimalarial compound,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$2,538,796"
Preclinical,Drug Preclinical development,Malaria,Drug,2013,TERMINATED,Development of ELQ300 as a long acting antimalarial,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$560,000"
Clinical,Drug Clinical Phase2,NTD(Chagas disease),Drug,2013,Successfully Completed,A new treatment for Chagas disease,"Eisai Co., Ltd.,Drugs for Neglected Diseases initiative","$3,840,892"
Clinical,Drug Clinical Phase1,NTD(Schistosomiasis),Drug,2013,Successfully Completed,Development and registration of a new praziquantel pediatric formulation for the treatment of schistosomiasis,"Astellas Pharma Inc.,Farmanguinhos,Simcyp Limited,Swiss Tropical and Public Health Institute,Merck KGaA,Lygature","$1,864,898"
Preclinical,Drug Lead Optimization,NTD(Lymphatic filariasis / Onchocerciasis),Drug,2013,Successfully Completed,Anti-Wolbachia targeted macrofilaricidal drug discovery-lead optimization of lead series chemotypes to deliver novel pre-clinical candidates,"Eisai Co., Ltd.,University of Liverpool,Liverpool School of Tropical Medicine","$1,093,166"
Preclinical,Vaccine Lead Optimization,Tuberculosis,Vaccine,2013,TERMINATED,Development of rhPIV2 as a Potential New TB Vaccine Candidate,"National Institutes of Biomedical Innovation, Health and Nutrition,Aeras","$5,649,620"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2013,TERMINATED,Screening Program,"Daiichi Sankyo, Inc.,The Global Alliance for TB Drug Development","$135,300"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2013,Successfully Completed,Screening Program,"SHIONOGI & CO., LTD.,The Global Alliance for TB Drug Development","$105,450"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2013,Successfully Completed,Screening Program,"Takeda Pharmaceutical Company Limited,The Global Alliance for TB Drug Development","$55,550"
Discovery,Drug Hit Identification,Malaria,Drug,2013,TERMINATED,Screening Program,"Daiichi Sankyo, Inc.,Medicines for Malaria Venture (MMV)","$241,372"
Discovery,Drug Hit Identification,Malaria,Drug,2013,Successfully Completed,Screening Program,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV)","$104,264"
Discovery,Drug Hit Identification,Malaria,Drug,2013,Successfully Completed,Screening Program,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$73,940"
Discovery,Drug Hit Identification,Malaria,Drug,2013,Successfully Completed,Screening Program,"Kitasato Institute,Medicines for Malaria Venture (MMV)",$570
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2013,Successfully Completed,Screening Program,"Eisai Co., Ltd.,Drugs for Neglected Diseases initiative","$75,582"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2013,Successfully Completed,Screening Program,"Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$75,582"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2013,TERMINATED,Screening Program,"Institute of Microbial Chemistry,Drugs for Neglected Diseases initiative","$7,558"
Discovery,Drug Hit Identification,Malaria,Drug,2013,TERMINATED,Screening Program,"Institute of Microbial Chemistry,Medicines for Malaria Venture (MMV)","$11,286"
Preclinical,Vaccine Preclinical Development,NTD(Dengue),Vaccine,2014,Successfully Completed,Development of a Live Attenuated Tetravalent Dengue Vaccine,"The Chemo-Sero-Therapeutic Research Institute (KAKETSUKEN),Mahidol University","$3,450,276"
Preclinical,Vaccine Preclinical Development,NTD(Chagas disease),Vaccine,2014,Successfully Completed,Adjuvant Technologies to Advance Chagas Disease Vaccine Development ,"Eisai Co., Ltd.,Baylor College of Medicine (BCM),Aeras,Sabin Vaccine Institute","$2,000,000"
Discovery,Vaccine Technology Platform Identification,Malaria,Vaccine,2014,Successfully Completed,Accelerating Development of Transmission-Blocking Vaccines for Malaria Elimination Using a Novel Vaccine Candidate,"Ehime University,PATH Malaria Vaccine Initiative","$766,098"
Clinical,Vaccine Phase1 Clinical Development,Malaria,Vaccine,2014,Successfully Completed,Clinical development of the BK-SE36 malaria vaccine candidate,"Research Institute for Microbial Diseases (RIMD), Osaka University,Centre National de Recherche et de Formation sur le Paludisme (CNRFP),European Vaccine Initiative e.V. (EVI e.V.)","$999,999"
Preclinical,Drug Preclinical development,Malaria,Drug,2014,Successfully Completed,"Preclinical and clinical development of (+)-SJ000557733, a novel inhibitor of Plasmodium ATP4","Eisai Co., Ltd.,Medicines for Malaria Venture (MMV),St. Jude Children’s Research Hospital","$3,768,922"
Clinical,Drug Clinical Phase1,Malaria,Drug,2014,Successfully Completed,"Testing DSM265, a novel antimalarial acting through DHODH, in combination with OZ439","Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$1,290,883"
Preclinical,Drug Lead Optimization,Malaria,Drug,2014,Successfully Completed,Lead optimization of a novel mechanism-of-action antimalarial,"Eisai Co., Ltd.,Broad Institute","$2,997,525"
Discovery,Drug Lead Identification,Malaria,Drug,2014,Successfully Completed,Design and Cost-effective de novo Synthesis of Aza-artemisinins,"Kitasato Institute,Medicines for Malaria Venture (MMV),Hokkaido University","$60,000"
